Concentration_percent,R_peak,X1_peak,X2_peak,Z_abs_peak,Phase_peak,Y_abs_peak,G_peak,B_peak,R_peak_std,X1_peak_std,X2_peak_std,Z_abs_peak_std,Phase_peak_std,Y_abs_peak_std,G_peak_std,B_peak_std
1,10010823.3023993,10006325.0689245,10015559.2762126,10015156.7199325,10010497.155248,10005959.0668567,0.000757683518316722,10005675.7904159,45.8062657405717,69.2131270854152,61.0833489774642,45.4232013241563,44.8738523310153,74.0990894561798,0.000278846112070904,74.7614294421997
1.1,10010941.5443888,10006525.8927346,10015535.0287654,10015130.9056204,10010613.7615047,10006154.4197024,0.000780410687902343,10005870.856033,37.809242185673,58.7484180373748,41.4028841738087,41.1020496137892,36.4680941081756,64.5533814758243,0.000215953478524817,58.0907808475414
1.2,10011074.6059115,10006749.3686383,10015530.0304987,10015152.5172771,10010745.2107955,10006377.439563,0.000763985048223773,10006095.9646883,35.0757602380582,70.5972718740799,42.0551996288374,37.9801503510197,33.8375109408663,71.1557398003329,0.000210712460145705,68.8472853349688
1.3,10011175.6595051,10006946.1403817,10015501.6070813,10015130.0660806,10010845.3599646,10006569.8034045,0.000735289908029619,10006293.6527588,24.3306317407354,50.0753130627641,39.7288337152158,39.780384827109,24.0920732205884,48.8003530948486,0.000220296758752495,49.3382284014013
1.4,10011271.7995663,10007134.4507057,10015502.2390649,10015131.8768145,10010942.6904714,10006768.9793066,0.000728909554583364,10006487.6016378,27.0705059850872,61.5143702604628,38.6578022379767,38.7559517868194,27.851760719384,62.6363248111383,0.000201138470084967,68.7364795833065
1.5,10011393.8435164,10007384.0180973,10015495.4649449,10015127.8972814,10011065.5951451,10007022.804384,0.000743737451490402,10006745.9748531,42.3682198017505,93.089553211294,42.9203421606586,36.1937196648681,42.4667607356324,90.6326169869339,0.000115603166475932,94.0751904968302
1.6,10011514.3411225,10007624.869592,10015518.6295024,10015152.2420455,10011187.6529169,10007261.0892849,0.000706071826031988,10006988.6206598,28.7619137472294,64.078506683881,46.1235155526921,34.2003930898357,28.8693743548172,62.7953637354422,0.000157295568981629,66.8491650442687
1.7,10011628.8744335,10007860.7178777,10015544.6399884,10015171.347603,10011304.162364,10007498.5696673,0.000704052174978828,10007235.0342037,35.2654539076451,78.6740102489567,42.76429706843,32.9140270178755,35.0201872907768,78.0942215700027,0.000109656495621124,80.5216050560525
1.8,10011717.703354,10008080.7768344,10015506.6305957,10015125.3286157,10011393.0016038,10007718.7099455,0.000682369101861647,10007460.7702825,28.8046958168206,64.1988914115464,42.2943784247508,39.2917644444486,29.1186035311627,70.8061936746101,0.000106156210350962,70.106414842782
1.9,10011788.269672,10008217.1388071,10015503.9638347,10015133.1671327,10011463.7667661,10007852.4732109,0.000670041508157615,10007600.3835029,21.0612034230767,47.7181498984466,42.6045715279601,35.1710378326526,21.9217002914185,47.4669925819639,0.00010422870663713,51.587308616895
2,10011961.1960142,10008565.2452259,10015524.9740088,10015150.011244,10011653.2409125,10008243.0212937,0.000645001559024031,10007959.0499885,465.228120501886,785.338026599368,269.765327389109,199.17128420168,478.975068711591,841.756124893689,9.43522383201465e-05,727.772917587464
